"","mcp_code","mcp_name","province","region","year","week_num","cases_per_week"
"1",11001,"Aartselaar","Antwerpen","Flanders",2020,36,11
"2",11001,"Aartselaar","Antwerpen","Flanders",2020,37,15
"3",11001,"Aartselaar","Antwerpen","Flanders",2020,38,10
"4",11001,"Aartselaar","Antwerpen","Flanders",2020,39,23
"5",11001,"Aartselaar","Antwerpen","Flanders",2020,40,14
"6",11001,"Aartselaar","Antwerpen","Flanders",2020,41,43
"7",11001,"Aartselaar","Antwerpen","Flanders",2020,42,53
"8",11001,"Aartselaar","Antwerpen","Flanders",2020,43,79
"9",11001,"Aartselaar","Antwerpen","Flanders",2020,44,53
"10",11001,"Aartselaar","Antwerpen","Flanders",2020,45,43
"11",11001,"Aartselaar","Antwerpen","Flanders",2020,46,32
"12",11001,"Aartselaar","Antwerpen","Flanders",2020,47,17
"13",11001,"Aartselaar","Antwerpen","Flanders",2020,48,11
"14",11001,"Aartselaar","Antwerpen","Flanders",2020,49,7
"15",11001,"Aartselaar","Antwerpen","Flanders",2020,50,8
"16",11001,"Aartselaar","Antwerpen","Flanders",2020,51,22
"17",11001,"Aartselaar","Antwerpen","Flanders",2020,52,7
"18",11001,"Aartselaar","Antwerpen","Flanders",2021,1,9
"19",11001,"Aartselaar","Antwerpen","Flanders",2021,2,4
"20",11001,"Aartselaar","Antwerpen","Flanders",2021,3,20
"21",11001,"Aartselaar","Antwerpen","Flanders",2021,4,22
"22",11001,"Aartselaar","Antwerpen","Flanders",2021,5,19
"23",11001,"Aartselaar","Antwerpen","Flanders",2021,6,13
"24",11001,"Aartselaar","Antwerpen","Flanders",2021,7,12
"25",11001,"Aartselaar","Antwerpen","Flanders",2021,8,21
"26",11001,"Aartselaar","Antwerpen","Flanders",2021,9,18
"27",11001,"Aartselaar","Antwerpen","Flanders",2021,10,33
"28",11001,"Aartselaar","Antwerpen","Flanders",2021,11,23
"29",11001,"Aartselaar","Antwerpen","Flanders",2021,12,33
"30",11001,"Aartselaar","Antwerpen","Flanders",2021,13,23
"31",11001,"Aartselaar","Antwerpen","Flanders",2021,14,13
"32",11001,"Aartselaar","Antwerpen","Flanders",2021,15,29
"33",11001,"Aartselaar","Antwerpen","Flanders",2021,16,16
"34",11001,"Aartselaar","Antwerpen","Flanders",2021,17,14
"35",11001,"Aartselaar","Antwerpen","Flanders",2021,18,16
"36",11001,"Aartselaar","Antwerpen","Flanders",2021,19,4
"37",11001,"Aartselaar","Antwerpen","Flanders",2021,20,16
